time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/entropy_loss
351,1,17,-3486.2070926666665,1067.611111111111,6144,,,,,,,,,,
223,2,54,-3294.0326080952386,1072.904761904762,12288,0.23213704427083334,0.20589566230773926,0.00025,1632,0.2,0.3899601426286002,0.0015977403563738335,0.9988553524017334,0.015089635,-4.231853649020195
217,3,84,-3346.4508850151515,1070.5454545454545,18432,0.20882161458333334,0.247378870844841,0.00025,1636,0.2,0.4568110032317539,-0.003070227748442752,0.9992712140083313,0.0156145645,-4.234010135134061
218,4,112,-3289.615692511111,1071.5,24576,0.2139892578125,0.1827080249786377,0.00025,1640,0.2,0.3523249543892841,-0.0006693018925337432,0.9995083808898926,0.022483764,-4.241708402832349
218,5,140,-3221.3862074299996,1071.62,30720,0.2283935546875,0.25042805075645447,0.00025,1644,0.2,0.526195926591754,0.0013276074848060186,0.9991392493247986,0.019916581,-4.1779101093610125
219,6,168,-3158.53878124,1073.03,36864,0.19645182291666666,0.1833239495754242,0.00025,1648,0.2,0.34229390462860465,-0.0014882828400004655,0.9996134638786316,0.011517573,-4.081080471475919
219,7,195,-3142.5713682599994,1073.61,43008,0.21248372395833334,0.3276287317276001,0.00025,1652,0.2,0.4546471467862527,-0.001191059893850858,0.9992872476577759,0.016868884,-4.120950313905875
220,8,222,-3063.7395032100007,1075.67,49152,0.22554524739583334,0.20244333148002625,0.00025,1656,0.2,0.4201356062355141,0.0002217008538233737,0.9994179606437683,0.017863318,-4.1081761593619985
222,9,248,-3208.43084522,1075.0,55296,0.20751953125,0.224793940782547,0.00025,1660,0.2,0.4318873913337787,-0.001054351131945926,0.9993504881858826,0.018204605,-4.112575677533944
222,10,275,-3235.708515829999,1075.62,61440,0.21659342447916666,0.18948353826999664,0.00025,1664,0.2,0.35107716886947554,0.002542205838835798,0.9995901584625244,0.015072261,-4.074150080482165
223,11,302,-3232.0821153299994,1076.62,67584,0.22257486979166666,0.18095819652080536,0.00025,1668,0.2,0.35551006564249593,0.0006492838025830375,0.9995953440666199,0.01854075,-4.09581184387207
224,12,328,-3236.8808953000007,1078.61,73728,0.23140462239583334,0.27091479301452637,0.00025,1672,0.2,0.38506209338083863,0.0018405089867883362,0.9995355010032654,0.014836694,-4.07394761343797
224,13,355,-3229.49062786,1081.84,79872,0.2746988932291667,0.2206818163394928,0.00025,1676,0.2,0.3774840091355145,0.0021252015091401213,0.9995786547660828,0.017842745,-4.07639812429746
225,14,381,-3100.23237998,1081.61,86016,0.3009033203125,0.39891839027404785,0.00025,1680,0.2,0.603248881486555,0.0037116698367753997,0.9987955689430237,0.024525626,-4.043631615738074
226,15,407,-3165.0245108999998,1079.0,92160,0.3577067057291667,0.08517424762248993,0.00025,1684,0.2,0.5661675023535887,0.005464473923590655,0.9989779591560364,0.031806905,-3.945162790517012
226,16,434,-3151.7611898799996,1078.93,98304,0.3800455729166667,0.1021188497543335,0.00025,1688,0.2,0.3003760469146073,0.008919222105760127,0.999474048614502,0.025765834,-3.997445364793142
