#{"t_start": 1763438548.0532362, "env_id": "None"}
r,l,t
-4149.570993,1061,6.645508
-3930.967096,1047,11.058205
-3190.990996,1070,15.347295
-3374.712797,1058,42.836656
-925.860281,1103,46.665487
-2853.583595,1082,50.424583
-3587.190308,1063,53.986455
-3291.590282,1068,73.200789
-4013.972806,1058,76.804024
-3887.974506,1056,80.178253
-3784.632108,1072,83.837641
-2833.06511,1092,101.400584
-3366.190298,1068,104.982713
-3520.674479,1075,108.511971
-3528.250992,1061,112.189482
-2959.753093,1087,129.423293
-2199.891002,1070,133.429579
-3411.731517,1071,137.119529
-3355.916597,1054,140.671895
-3072.170986,1086,158.427726
-4116.161983,1050,162.04776
-3405.937805,1053,165.53501
-3301.890299,1068,183.116805
-3208.0336,1074,186.686519
-3265.653602,1057,190.07667
-3380.372117,1072,193.564472
-2806.749513,1175,211.653464
-3114.82711,1084,214.9852
-3912.732114,1059,218.29168
-4129.317808,1053,221.547002
-3974.839103,1052,238.423799
-4138.030108,1067,242.10445
-3530.1106,1062,244.895287
-3708.450021,1066,248.208637
-4035.856606,1054,265.416891
-2137.093611,1074,269.251549
-2734.062819,1113,272.721847
-2765.864104,1104,276.11157
-4102.307096,1084,292.888751
-1741.000292,1108,296.760609
-3669.751492,1060,300.154094
-2847.892104,1072,316.433892
-3395.533605,1074,320.062368
-3413.560503,1080,323.484257
-2463.465113,1092,326.909127
-4243.811008,1070,343.848436
-1330.397783,1078,347.575562
-1798.757506,1191,351.298209
-2106.711595,1177,354.931307
-3398.87001,1065,372.06879
-3968.067093,1047,375.037812
-2407.095515,1076,378.339765
-900.045111,1092,381.693194
-3799.791485,1060,398.624136
-2670.613093,1087,402.384604
-3202.909998,1065,405.119901
-3841.797791,1053,422.019397
-3434.011007,1061,425.571453
-1042.580483,1176,429.31088
-2732.61659,1077,432.725229
-3540.732094,1059,449.031412
-4006.556596,1054,452.65684
-3031.135939,1071,456.36111
-1176.627819,1093,459.724111
-2670.093594,1074,476.319219
-4085.746601,1302,480.95526
-4037.553599,1057,484.19179
-3296.797793,1053,487.56872
-4408.81529,1043,504.548683
-4040.320513,1051,507.923884
-2742.681988,1081,511.272883
-3428.050003,1066,514.56438
-4246.511488,1060,531.26993
-4213.430599,1069,534.707386
-3319.572791,1058,537.978532
-2732.329008,1046,554.599082
-3965.311494,1071,558.256093
-3776.206097,1099,561.706001
-3531.452807,1073,564.46151
-4280.657582,1089,581.789792
-3885.193595,1074,585.547943
-2299.79059,1094,588.884591
-4027.050614,1069,592.254981
-2460.446109,1099,608.746578
-4062.915322,1088,612.582435
-4053.873589,1074,615.914512
-4016.920011,1090,619.258929
-1198.770604,1069,635.783757
-2080.546094,1099,639.317272
-3912.407792,1093,642.763621
-3224.801097,1124,659.398391
-1890.310088,1064,662.967295
-1314.533491,1111,666.584824
-3764.710587,1062,669.863109
-3161.5555,1076,687.307088
-2219.859094,1079,690.593289
-4418.952076,1072,693.914804
-2609.655293,1088,697.325534
140.6984,1202,714.660904
-2417.634509,1075,718.454257
-2713.885306,1083,721.268291
-586.897593,1089,724.673207
-3715.391495,1060,741.474936
-3784.999083,1052,745.164388
-3470.090613,1069,748.437525
-4270.03278,1073,751.77016
-2539.370106,1064,768.675644
-4005.636606,1054,772.018553
-2153.655315,1088,775.445007
-4205.156592,1054,791.67388
-2787.293604,1074,795.248983
-1786.537602,1089,798.918044
-1634.667808,1278,803.00276
-2687.507116,1084,819.235651
-3172.190596,1062,822.844538
-2383.112783,1073,826.206642
-3190.6028,1113,829.770957
-4041.591512,1071,846.644791
-3186.092788,1073,849.832592
-2332.00899,1110,853.29192
-2747.633086,1087,856.63503
-3242.592094,1072,873.893558
-2228.847999,1105,877.422652
-4204.031505,1071,881.254333
-1644.780278,1103,898.586666
-2438.599999,1090,902.378209
-3240.46409,1104,905.797557
