#{"t_start": 1763438548.0531461, "env_id": "None"}
r,l,t
-3007.597609,1089,6.770642
-2964.431012,1061,11.244347
-2224.432788,1073,15.520342
-4427.852099,1059,42.989725
-4152.571492,1060,46.679928
-4207.090013,1065,50.38702
-3062.953611,1074,53.982913
-4073.550292,1063,73.186736
-3415.307101,1084,76.872801
-4092.452806,1058,80.252003
-3320.910108,1064,83.889129
-4042.588982,1046,101.302367
-2016.770593,1094,104.979323
-4051.713606,1057,108.457253
-3071.004424,1090,112.241587
-966.789506,1100,129.509096
-3348.370296,1068,133.498755
-3622.510115,1067,137.171322
-2787.951504,1071,140.784766
-3133.433104,1087,158.542272
-3379.0936,1057,162.181798
-1734.737583,1089,165.791932
-3438.590112,1064,183.329702
-3961.392791,1058,186.880035
-4050.919112,1052,190.231046
-2863.680496,1080,193.751176
-3176.733611,1074,211.525087
-2953.831008,1070,214.761577
-3891.787105,1047,218.085931
-1245.914503,1075,221.40469
-3283.733102,1087,238.385663
-1645.780494,1080,242.105698
-2382.800303,1103,245.046943
-4389.409992,1066,248.328509
-4230.0103,1063,265.596215
-3424.080492,1080,269.440374
-3991.937601,1089,272.807083
-4110.799084,1079,276.123515
-2701.073518,1095,292.944596
-3472.153082,1087,296.74599
-3301.182799,1098,300.273225
-2181.402,1081,316.574718
-3265.129996,1065,320.205822
-1754.740314,1103,323.686079
-2729.266086,1099,327.140287
-4305.494486,1075,344.07946
-2562.032086,1059,347.754029
-4172.759096,1052,351.042835
-2055.602495,1216,354.784624
-1130.843012,1205,371.909088
-3566.259112,1052,375.332617
-3212.811485,1060,378.583868
-3489.648099,1187,395.842562
-4206.274503,1056,399.192741
-4036.436595,1054,402.801013
-3568.813613,1074,405.563037
-1989.653598,1074,422.600223
-2494.585315,1083,426.203989
-3568.269995,1065,429.557473
-3326.849996,1065,432.945319
-4023.853601,1057,449.23509
-2282.988034,1082,453.019263
-4067.839102,1079,456.679777
-3320.879958,1055,459.921663
-2994.968994,1085,476.548189
-3729.935493,1055,480.431028
-2178.862498,1091,483.762797
-3055.772792,1073,487.190224
-2215.179098,1079,504.254654
-3954.439091,1052,507.626547
-3919.636584,1054,510.938032
