#{"t_start": 1763438548.0532854, "env_id": "None"}
r,l,t
-3134.217811,1078,6.720737
-3485.131501,1071,11.23113
-4048.513614,1057,15.454539
-4135.452106,1059,42.924606
-2786.633105,1087,46.706779
-4086.451008,1070,50.424108
-3182.389995,1066,53.995797
-2555.410119,1064,73.201399
-2762.250982,1070,76.838724
-3300.490087,1067,80.254765
-4378.29001,1066,83.90246
-4199.970097,1064,101.371513
-3497.150311,1063,104.94189
-1968.293104,1087,108.512346
-3008.672082,1072,112.22953
-3335.053598,1074,129.409368
-3273.410287,1068,133.400081
-4022.755505,1055,137.039853
-3565.570108,1064,140.609625
-3134.170305,1228,158.863586
-4048.790004,1065,162.509947
-3951.631506,1060,166.029752
-3128.12511,1167,183.844658
-3352.330992,1086,187.554557
-1276.509011,1085,190.983428
-2854.933098,1087,194.552225
-2421.870013,1066,212.261804
-3579.737783,1078,215.600157
-3322.85908,1079,218.922954
-3305.414486,1075,222.233984
-4413.592075,1072,239.233579
-2844.250289,1063,242.884327
-3778.990285,1068,245.669555
-4527.601984,1081,249.006917
-3511.672104,1072,266.492369
-3695.34279,1098,270.213935
-3032.24251,1091,273.593053
-3296.625102,1092,290.316129
-3535.274492,1056,293.727843
-2759.271483,1060,297.405136
-4595.574514,1075,300.812854
-2423.263599,1082,317.121248
-1920.144626,1109,320.924302
-3256.047095,1084,324.287087
-3480.512807,1073,327.701301
-4101.391006,1045,344.529608
-4211.712098,1059,348.188917
-2888.843593,1082,351.576163
-4035.470992,1061,354.858114
-3437.390594,1069,371.998927
-3011.892798,1073,375.059467
-3431.412807,1073,378.360162
-3705.1536,1057,381.57868
-3946.583577,1049,398.519995
-3414.732795,1073,402.24975
-3601.090314,1063,404.974792
-4179.592117,1059,408.217275
-1992.195495,1076,425.478838
-3680.842006,1081,428.931241
-3477.876591,1054,432.277892
-3381.294516,1075,448.633778
-1049.148486,1195,452.692074
-3786.290293,1063,456.36106
-4026.139096,1079,459.679798
-2242.476557,1072,476.260445
-3974.153596,1057,480.07911
-3285.670111,1067,483.399349
-3639.610307,1063,486.782321
-3223.309988,1066,503.753071
-1706.580489,1080,507.283852
-1743.738106,1112,510.768584
-3126.254491,1075,514.074385
-4030.896583,1054,531.099783
-3319.470998,1070,534.207418
-3561.251502,1071,537.483176
-2603.330006,1066,540.782626
-4180.112092,1059,557.694973
-2872.500522,1051,561.121031
-3071.942799,1098,563.96085
-4063.210594,1062,581.191466
-3574.679104,1052,584.864676
-2762.840311,1103,588.221179
-3775.173523,1095,591.610265
-3117.552791,1073,608.043675
-2363.882805,1098,611.940722
-2769.324604,1134,615.459171
-3053.493113,1087,618.832407
-3144.155506,1076,635.307457
-2091.162804,1098,638.891488
-2641.571505,1071,642.222593
-4278.310085,1067,645.5957
-2240.607093,1084,662.279856
-3197.036591,1077,665.865961
-2001.480303,1103,669.266186
-2910.727811,1093,686.757611
-4181.470609,1062,690.006501
-4443.793605,1074,693.340269
-3453.811481,1071,696.682667
-2858.481103,1124,713.827102
-2594.122007,1081,717.512975
-1379.913121,1087,720.976553
-2182.656583,1077,723.827471
-1736.405317,1528,742.095129
-3412.01101,1061,745.791277
-2084.508987,1085,749.112629
-1060.892992,1101,765.723675
-3632.622009,1050,769.495091
-958.945099,1092,772.868251
-2357.540493,1080,776.28739
-1882.491008,1070,792.487528
-1930.276597,1102,796.34859
-2226.423581,1082,799.923927
-2416.116613,1077,803.29988
-4114.174499,1056,819.452443
-2080.522614,1117,823.219269
-1983.83911,1079,826.611365
-2147.422509,1091,830.194717
-2693.253598,1074,846.978188
-3526.13151,1060,850.122769
-1982.7025,1091,853.513463
-2041.176099,1107,870.528898
-4117.43211,1059,874.185943
-2064.784096,1104,877.656777
-2286.87449,1075,881.537788
-2585.935512,1076,898.739594
-1863.712098,1072,902.479584
-2109.898123,1112,905.927618
-2827.566106,1099,909.245423
-770.677813,1078,925.441246
-1772.873612,1074,929.198057
-1326.47661,1102,932.607223
-1905.892487,1115,936.042529
-1912.663612,1082,952.573757
-3242.61102,1061,956.14572
-1740.762487,1315,960.253172
-2229.399594,1097,976.782185
-2824.541998,1081,980.587845
