time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate
11,-578.6793708333335,6144,1,529,2221.0,,,,,,,,,,
36,-602.8522100555555,12288,2,340,2221.0,-8.285443196694056,2.9995052814483643,0.002934753894805908,0.01608772771821047,18.39653615405162,0.3951822916666667,0.027314013,0.2,4,0.00025
60,-630.4293705000001,18432,3,302,2221.0,-8.225843280553818,4.070613861083984,0.24108773469924927,0.02383808546195117,21.877242212494213,0.4674072265625,0.03619765,0.2,8,0.00025
85,-658.3473598809525,24576,4,287,2221.0,-8.132588043808937,14.713096618652344,0.33442622423171997,0.021682571425723534,32.81874458988508,0.4165852864583333,0.0273431,0.2,12,0.00025
109,-694.690687314815,30720,5,281,2221.0,-8.008782009283701,9.292082786560059,0.28156977891921997,0.03659343422623351,36.381411880254745,0.4852294921875,0.105955325,0.2,16,0.00025
133,-709.6591684242425,36864,6,276,2221.0,-7.9807964613040285,13.234179496765137,0.3277967572212219,0.017729181073567208,37.78549654285113,0.4368489583333333,0.07115567,0.2,20,0.00025
157,-718.7202655000001,43008,7,272,2221.0,-7.934849431117375,11.884073257446289,0.7257447242736816,0.03708879724824025,28.196233828862507,0.5724690755208334,0.09545981,0.2,24,0.00025
182,-724.3638942380953,49152,8,269,2221.0,-7.890136390924454,6.842273712158203,0.6238874197006226,0.025533069046408247,21.28715815146764,0.5419514973958334,0.09116229,0.2,28,0.00025
206,-712.65911578125,55296,9,267,2221.0,-7.982871393362681,11.056280136108398,0.875693142414093,0.01837307932631423,29.328232377767563,0.4579671223958333,0.090961665,0.2,32,0.00025
232,-729.5967777999998,61440,10,263,2221.0,-8.058740029732386,5.091405868530273,0.9065232276916504,0.024071301876877744,24.005773653586704,0.3347981770833333,0.16633438,0.2,36,0.00025
258,-764.2056666799998,67584,11,261,2221.0,-7.152769297361374,6.9332804679870605,0.8587146997451782,0.020596392816514708,25.18540557225545,0.4800618489583333,0.068166755,0.2,40,0.00025
283,-792.8723333399997,73728,12,260,2221.0,-6.979809497793515,5.063724517822266,0.8836749792098999,0.038168398221993506,16.46589540441831,0.5453694661458334,0.049873855,0.2,44,0.00025
307,-802.5723333399998,79872,13,259,2221.0,-6.91515792409579,6.249990463256836,0.9483394026756287,0.010351095431057425,12.088382855057716,0.3028971354166667,0.012238122,0.2,48,0.00025
333,-818.1023333399997,86016,14,257,2221.0,-6.996203377842903,4.950095176696777,0.9655262231826782,0.0034248042090136246,8.951869835456213,0.20068359375,0.011613679,0.2,52,0.00025
