rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range
-1873.9455751428573,1445.357142857143,1,21,6144,286,,,,,,,,,,
-3506.7527362580645,1469.6774193548388,2,65,12288,187,0.9750848412513733,0.00025,2152,0.03840901,2.320915460586548,0.388427734375,5.038345580299695,-5.174972688158353,0.012624648628843715,0.2
-3642.034058122449,1428.3469387755101,3,101,18432,180,0.9809483289718628,0.00025,2156,0.04808865,1.5052359104156494,0.4512125651041667,4.7028654006620245,-5.1063618461291,0.028270482822942238,0.2
-3880.8223349242417,1416.0,4,136,24576,180,0.9868564605712891,0.00025,2160,0.06585505,1.8800690174102783,0.4464518229166667,3.777213497708241,-5.036792332927386,0.01895362034459443,0.2
-3238.2123873809524,1404.3333333333333,5,168,30720,182,0.9615023136138916,0.00025,2164,0.06692629,3.47274112701416,0.5062255859375,10.310157472888628,-5.3096503764390945,0.018398748836868133,0.2
-3269.36218245,1428.36,6,204,36864,180,0.9812197685241699,0.00025,2168,0.057564665,3.1191110610961914,0.4583333333333333,6.204596733053525,-5.3362773060798645,0.01715738413137539,0.2
-2738.11008201,1368.22,7,243,43008,176,0.9812595248222351,0.00025,2172,0.0441099,2.2574145793914795,0.38427734375,5.776487857103348,-5.305726577838262,0.020325353393369976,0.2
-1562.9268209499999,1297.84,8,271,49152,181,0.9940145015716553,0.00025,2176,0.052555334,0.8539723753929138,0.4669596354166667,2.4408397786319256,-5.224961643417676,0.015083938405344574,0.2
-1176.5743562300001,1269.31,9,297,55296,185,0.993857204914093,0.00025,2180,0.036544558,1.1309139728546143,0.4149983723958333,2.8398781257371106,-5.024010171492894,0.0095724087683872,0.2
-602.7466933300001,1203.65,10,324,61440,189,0.9974334836006165,0.00025,2184,0.085611485,0.23830728232860565,0.5101725260416666,0.7619814860324065,-4.96718734006087,0.025491442376126845,0.2
-239.79025853000007,1152.64,11,351,67584,192,0.9991163015365601,0.00025,2188,0.022411548,0.06393568217754364,0.3687744140625,0.36566086920599145,-5.107600217064221,0.01062248418990445,0.2
-240.84745777000018,1140.01,12,377,73728,195,0.9994463324546814,0.00025,2192,0.018636884,0.11623115092515945,0.3332926432291667,0.4071012504088382,-5.050064707795779,0.004528824467949259,0.2
-124.32283427000006,1129.22,13,404,79872,197,0.999431848526001,0.00025,2196,0.041356664,0.03201302886009216,0.3932291666666667,0.2663759798742831,-5.053425386548042,0.007303221083323781,0.2
36.56494903,1118.39,14,431,86016,199,0.99950110912323,0.00025,2200,0.038925003,0.04832182824611664,0.3561197916666667,0.2662833638799687,-5.031288996338844,0.007694520764440919,0.2
38.6216413,1116.95,15,457,92160,201,0.9993796944618225,0.00025,2204,0.01843182,0.17641526460647583,0.2940673828125,0.383902413615336,-4.942140758037567,-0.0006017485575284809,0.2
34.94809999000001,1116.58,16,484,98304,203,0.9994580149650574,0.00025,2208,0.025908178,0.03688818961381912,0.3772379557291667,0.27383476744095486,-4.900818705558777,0.006530897107343965,0.2
137.15528406000004,1117.32,17,512,104448,203,0.9996160864830017,0.00025,2212,0.021920264,0.09272068738937378,0.3128662109375,0.3145850768002371,-4.911149779955546,0.0049070818022300955,0.2
