#{"t_start": 1763583445.1672754, "env_id": "None"}
r,l,t
2736.691024,2221,12.849473
-22422.125277,1563,21.129781
-228.038107,1112,51.246686
4155.564462,1251,56.58445
-17915.070296,1703,65.69184
4153.826974,1205,89.963099
4573.427914,1247,94.829056
-92.862088,1084,99.522247
305.742215,1098,121.186261
4585.052893,1259,126.408819
-1.295106,1092,131.294683
528.348937,1129,136.01724
515.875421,1109,156.627008
604.690987,2221,165.941024
-16926.012825,1753,189.166371
4412.410296,1248,194.842339
-18084.862969,1726,203.04601
-127.226453,1125,228.00969
-15.272461,1126,233.472173
51.111982,1130,238.7832
8042.544709,1423,260.899941
207.003897,1124,264.155924
314.148422,1154,267.863444
202.093888,1124,271.458866
211.447203,1138,288.902048
3964.323473,1235,293.144163
250.450423,1109,296.085824
11.523007,1125,313.143572
-47.318524,1120,317.055753
265.198018,1125,320.569865
112.628407,1102,324.047558
13.777391,1117,340.733946
21.755393,1122,344.75561
-70.180613,1094,348.310471
461.347199,1138,351.937312
108.248504,1135,368.837206
-22.095319,1103,372.561326
27.453013,1125,375.984054
23.080994,1146,392.85561
-81.987609,1089,396.698525
4.719675,1103,400.576338
0.40041,1097,403.961932
33.007515,1116,421.28927
4.318495,1096,424.880947
33.004722,1123,428.360252
-136.078086,1119,431.778
354.292498,1116,449.053241
32.846496,1136,452.183667
3.46538,1109,455.598464
75.695991,1121,473.120352
20.90889,1107,476.935012
-198.623116,1087,480.501073
-91.503005,1101,483.453366
411.411506,1111,501.46965
44.277988,1125,505.336242
-3.394096,1104,509.262388
153.006977,1101,513.159501
