step,kart1_X,kart1_Y,kart1_direction,kart1_speed,DrivingMode,GameMode,getFrame,current_checkpoint,surface,lap,collision_detection,status,reward,total_reward
0,3014,3057,196,0,6,2,2437,16,74,128,0,0,-1.0,-1.0
1,3014,3057,196,2,6,2,2438,16,74,128,0,0,-1.0,-2.0
2,3014,3057,196,4,6,2,2439,16,74,128,0,0,-1.0,-3.0
3,3014,3057,196,6,6,2,2440,16,74,128,0,0,-1.0,-4.0
4,3014,3057,196,8,6,2,2441,16,74,128,0,0,-1.0,-5.0
5,3014,3057,196,10,6,2,2442,16,74,128,0,0,-1.0,-6.0
6,3014,3057,196,12,6,2,2443,16,74,128,0,0,-1.0,-7.0
7,3013,3057,196,14,6,2,2444,16,74,128,0,0,-1.0,-8.0
8,3013,3057,196,16,6,2,2445,16,74,128,0,0,-1.0,-9.0
9,3013,3057,196,18,6,2,2446,16,74,128,0,0,-1.0,-10.0
10,3013,3057,196,20,6,2,2447,16,74,128,0,0,-1.0,-11.0
11,3012,3057,196,22,6,2,2448,16,74,128,0,0,-1.0,-12.0
12,3012,3057,196,24,6,2,2449,16,74,128,0,0,-1.0,-13.0
13,3012,3057,196,26,6,2,2450,16,74,128,0,0,-1.0,-14.0
14,3011,3057,196,28,6,2,2451,16,74,128,0,0,-1.0,-15.0
15,3011,3057,196,30,6,2,2452,16,74,128,0,0,-1.0,-16.0
16,3010,3057,196,32,6,2,2453,16,74,128,0,0,-1.0,-17.0
17,3010,3057,196,34,6,2,2454,16,74,128,0,0,-1.0,-18.0
18,3009,3057,196,36,6,2,2455,16,74,128,0,0,-1.0,-19.0
19,3009,3057,196,38,6,2,2456,16,74,128,0,0,-1.0,-20.0
20,3008,3057,196,40,6,2,2457,16,74,128,0,0,-1.0,-21.0
21,3008,3057,196,42,6,2,2458,16,74,128,0,0,-1.0,-22.0
22,3007,3057,196,38,6,2,2459,16,72,128,0,0,-1.0,-23.0
23,3006,3057,196,40,6,2,2460,16,72,128,0,0,-1.0,-24.0
24,3006,3057,196,42,6,2,2461,16,72,128,0,0,-1.0,-25.0
25,3005,3057,196,44,6,2,2462,16,72,128,0,0,-1.0,-26.0
26,3004,3057,196,46,6,2,2463,16,72,128,0,0,-1.0,-27.0
27,3004,3057,196,48,6,2,2464,16,72,128,0,0,-1.0,-28.0
28,3003,3057,196,50,6,2,2465,16,72,128,0,0,-1.0,-29.0
29,3002,3057,196,52,6,2,2466,16,72,128,0,0,-1.0,-30.0
30,3001,3056,196,54,6,2,2467,16,72,128,0,0,-1.0,-31.0
31,3000,3056,196,56,6,2,2468,16,72,128,0,0,-1.0,-32.0
32,3000,3056,196,58,6,2,2469,16,72,128,0,0,-1.0,-33.0
33,2999,3056,195,60,6,2,2470,16,72,128,0,0,-1.0,-34.0
34,2998,3056,195,62,6,2,2471,16,72,128,0,0,-1.0,-35.0
35,2997,3056,195,64,6,2,2472,16,72,128,0,0,-1.0,-36.0
36,2996,3056,195,70,6,2,2473,16,72,128,0,0,-1.0,-37.0
37,2995,3056,195,76,6,2,2474,16,72,128,0,0,-1.0,-38.0
38,2993,3056,195,82,6,2,2475,16,72,128,0,0,-1.0,-39.0
39,2992,3056,195,88,6,2,2476,16,72,128,0,0,-1.0,-40.0
40,2991,3056,195,84,6,2,2477,16,72,128,0,0,-1.0,-41.0
41,2989,3056,195,90,6,2,2478,16,72,128,0,0,-1.0,-42.0
42,2988,3056,195,96,6,2,2479,16,72,128,0,0,-1.0,-43.0
43,2987,3056,195,102,6,2,2480,16,72,128,0,0,-1.0,-44.0
44,2985,3055,195,108,6,2,2481,16,72,128,0,0,-1.0,-45.0
45,2983,3055,195,114,6,2,2482,16,72,128,0,0,-1.0,-46.0
46,2982,3055,195,120,6,2,2483,16,72,128,0,0,-1.0,-47.0
47,2980,3055,195,126,6,2,2484,16,72,128,0,0,-1.0,-48.0
48,2978,3055,195,132,6,2,2485,16,72,128,0,0,-1.0,-49.0
49,2976,3055,195,136,6,2,2486,16,72,128,0,0,-1.0,-50.0
50,2973,3055,195,140,6,2,2487,16,72,128,0,0,-1.0,-51.0
51,2971,3055,195,144,6,2,2488,16,72,128,0,0,-1.0,-52.0
52,2969,3054,195,148,6,2,2489,16,72,128,0,0,-1.0,-53.0
53,2967,3054,195,152,6,2,2490,16,72,128,0,0,-1.0,-54.0
54,2964,3054,195,156,6,2,2491,16,72,128,0,0,-1.0,-55.0
55,2962,3054,195,160,6,2,2492,16,72,128,0,0,-1.0,-56.0
56,2959,3054,195,164,6,2,2493,16,72,128,0,0,-1.0,-57.0
57,2957,3054,195,168,6,2,2494,16,72,128,0,0,-1.0,-58.0
58,2954,3054,195,172,6,2,2495,16,72,128,0,0,-1.0,-59.0
59,2952,3054,195,176,6,2,2496,16,72,128,0,0,-1.0,-60.0
60,2949,3053,194,180,6,2,2497,16,72,128,0,0,-1.0,-61.0
61,2946,3053,194,184,6,2,2498,16,72,128,0,0,-1.0,-62.0
62,2943,3053,194,188,6,2,2499,16,92,128,0,0,-1.0,-63.0
63,2940,3053,194,192,6,2,2500,16,92,128,0,0,-1.0,-64.0
64,2937,3053,194,200,6,2,2501,16,92,128,0,0,-1.0,-65.0
65,2934,3053,194,208,6,2,2502,16,92,128,0,0,-1.0,-66.0
66,2931,3053,194,216,6,2,2503,16,92,128,0,0,-1.0,-67.0
67,2927,3053,194,224,6,2,2504,16,92,128,0,0,-1.0,-68.0
68,2924,3052,194,232,6,2,2505,16,92,128,0,0,-1.0,-69.0
69,2920,3052,194,240,6,2,2506,16,92,128,0,0,-1.0,-70.0
70,2917,3052,194,248,6,2,2507,16,92,128,0,0,-1.0,-71.0
71,2913,3052,194,256,6,2,2508,16,92,128,0,0,-1.0,-72.0
72,2909,3052,194,268,6,2,2509,16,92,128,0,0,-1.0,-73.0
73,2904,3052,194,280,6,2,2510,16,92,128,0,0,-1.0,-74.0
74,2900,3051,194,292,6,2,2511,16,92,128,0,0,-1.0,-75.0
75,2896,3051,194,304,6,2,2512,16,92,128,0,0,-1.0,-76.0
76,2891,3051,194,316,6,2,2513,16,92,128,0,0,-1.0,-77.0
77,2886,3051,194,328,6,2,2514,16,92,128,0,0,-1.0,-78.0
78,2881,3051,193,340,6,2,2515,16,92,128,0,0,-1.0,-79.0
79,2875,3051,193,352,6,2,2516,16,92,128,0,0,-1.0,-80.0
80,2870,3051,193,364,6,2,2517,16,92,128,0,0,-1.0,-81.0
81,2864,3050,193,376,6,2,2518,16,92,128,0,0,-1.0,-82.0
82,2858,3050,193,388,6,2,2519,16,92,128,0,0,-1.0,-83.0
83,2852,3050,192,400,6,2,2520,16,92,128,0,0,-1.0,-84.0
84,2846,3050,192,412,6,2,2521,16,92,128,0,0,-1.0,-85.0
85,2840,3050,192,424,6,2,2522,16,92,128,0,0,-1.0,-86.0
86,2833,3050,192,436,6,2,2523,16,92,128,0,0,-1.0,-87.0
87,2826,3050,191,448,6,2,2524,16,92,128,0,0,-1.0,-88.0
88,2819,3050,191,456,6,2,2525,16,92,128,0,0,-1.0,-89.0
89,2812,3051,191,464,6,2,2526,17,92,128,0,0,-1.0,-90.0
90,2805,3051,191,472,6,2,2527,17,92,128,0,0,-1.0,-91.0
91,2797,3051,190,480,6,2,2528,17,92,128,0,0,-1.0,-92.0
92,2790,3052,190,488,6,2,2529,17,92,128,0,0,-1.0,-93.0
93,2782,3052,190,496,6,2,2530,17,92,128,0,0,-1.0,-94.0
94,2775,3052,190,504,6,2,2531,17,92,128,0,0,-1.0,-95.0
95,2767,3053,190,512,6,2,2532,17,92,128,0,0,-1.0,-96.0
96,2759,3053,190,520,6,2,2533,17,92,128,0,0,-1.0,-97.0
97,2751,3054,190,528,6,2,2534,17,92,128,0,0,-1.0,-98.0
98,2742,3054,190,536,6,2,2535,17,92,128,0,0,-1.0,-99.0
99,2734,3055,190,544,6,2,2536,17,92,128,0,0,-1.0,-100.0
100,2725,3055,190,552,6,2,2537,17,92,128,0,0,-1.0,-101.0
101,2717,3056,190,560,6,2,2538,17,92,128,0,0,-1.0,-102.0
102,2708,3056,190,568,6,2,2539,17,92,128,0,0,-1.0,-103.0
103,2699,3057,190,576,6,2,2540,17,92,128,0,0,-1.0,-104.0
104,2690,3058,190,580,6,2,2541,17,92,128,0,0,-1.0,-105.0
105,2681,3058,190,564,6,2,2542,17,92,128,0,0,-1.0,-106.0
106,2672,3059,190,572,6,2,2543,17,92,128,0,0,-1.0,-107.0
107,2663,3059,190,580,6,2,2544,17,92,128,0,0,-1.0,-108.0
108,2654,3060,190,564,6,2,2545,17,92,128,0,0,-1.0,-109.0
109,2646,3061,190,572,6,2,2546,17,92,128,0,0,-1.0,-110.0
110,2637,3061,190,580,6,2,2547,17,92,128,0,0,-1.0,-111.0
111,2628,3062,190,564,6,2,2548,17,92,128,0,0,-1.0,-112.0
112,2619,3062,190,572,6,2,2549,17,92,128,0,0,-1.0,-113.0
113,2610,3063,190,580,6,2,2550,17,92,128,0,0,-1.0,-114.0
114,2601,3064,190,564,6,2,2551,17,92,128,0,0,-1.0,-115.0
115,2592,3064,189,572,6,2,2552,17,92,128,0,0,-1.0,-116.0
116,2583,3065,189,580,6,2,2553,17,92,128,0,0,-1.0,-117.0
117,2574,3065,189,564,6,2,2554,17,92,128,0,0,-1.0,-118.0
118,2565,3066,189,572,6,2,2555,17,92,128,0,0,-1.0,-119.0
119,2556,3067,189,580,6,2,2556,17,72,128,0,0,-1.0,-120.0
120,2547,3067,189,584,6,2,2557,17,72,128,0,0,-1.0,-121.0
121,2538,3068,189,588,6,2,2558,17,72,128,0,0,-1.0,-122.0
122,2529,3069,189,592,6,2,2559,17,72,128,0,0,-1.0,-123.0
123,2520,3069,189,596,6,2,2560,17,72,128,0,0,-1.0,-124.0
124,2511,3070,189,600,6,2,2561,17,72,128,0,0,-1.0,-125.0
125,2501,3071,189,604,6,2,2562,17,72,128,0,0,-1.0,-126.0
126,2492,3071,189,608,6,2,2563,17,74,128,0,0,-1.0,-127.0
127,2482,3072,189,612,6,2,2564,18,74,128,0,0,-1.0,-128.0
128,2473,3073,189,616,6,2,2565,18,74,128,0,0,-1.0,-129.0
129,2463,3073,189,620,6,2,2566,18,74,128,0,0,-1.0,-130.0
130,2453,3074,189,624,6,2,2567,18,74,128,0,0,-1.0,-131.0
131,2444,3075,189,628,6,2,2568,18,74,128,0,0,-1.0,-132.0
132,2434,3076,189,632,6,2,2569,18,74,128,0,0,-1.0,-133.0
133,2424,3076,189,636,6,2,2570,18,74,128,0,0,-1.0,-134.0
134,2414,3077,189,640,6,2,2571,18,74,128,0,0,-1.0,-135.0
135,2404,3078,189,642,6,2,2572,18,74,128,0,0,-1.0,-136.0
136,2394,3078,189,644,6,2,2573,18,74,128,0,0,-1.0,-137.0
137,2384,3079,189,646,6,2,2574,18,74,128,0,0,-1.0,-138.0
138,2374,3080,189,648,6,2,2575,18,74,128,0,0,-1.0,-139.0
139,2364,3081,189,650,6,2,2576,18,74,128,0,0,-1.0,-140.0
140,2354,3081,189,652,6,2,2577,18,74,128,0,0,-1.0,-141.0
141,2344,3082,189,654,6,2,2578,18,74,128,0,0,-1.0,-142.0
142,2333,3083,189,656,6,2,2579,18,74,128,0,0,-1.0,-143.0
143,2323,3084,189,658,6,2,2580,18,74,128,0,0,-1.0,-144.0
144,2313,3084,190,660,6,2,2581,18,74,128,0,0,-1.0,-145.0
145,2303,3085,190,662,6,2,2582,19,74,128,0,0,-1.0,-146.0
146,2292,3086,190,664,6,2,2583,19,74,128,0,0,-1.0,-147.0
147,2282,3086,190,666,6,2,2584,19,74,128,0,0,-1.0,-148.0
148,2272,3087,190,668,6,2,2585,19,74,128,0,0,-1.0,-149.0
149,2261,3088,190,670,6,2,2586,19,74,128,0,0,-1.0,-150.0
150,2251,3088,190,672,6,2,2587,19,74,128,0,0,-1.0,-151.0
151,2240,3089,190,674,6,2,2588,19,74,128,0,0,-1.0,-152.0
152,2230,3090,190,676,6,2,2589,19,74,128,0,0,-1.0,-153.0
153,2219,3090,190,678,6,2,2590,19,74,128,0,0,-1.0,-154.0
154,2209,3091,190,680,6,2,2591,19,74,128,0,0,-1.0,-155.0
155,2198,3092,190,682,6,2,2592,19,90,128,0,0,-1.0,-156.0
156,2187,3093,190,666,6,2,2593,19,90,128,0,0,-1.0,-157.0
