step,kart1_X,kart1_Y,kart1_direction,kart1_speed,DrivingMode,GameMode,getFrame,current_checkpoint,surface,lap,collision_detection,status,reward,total_reward
0,3014,3057,196,0,6,2,2437,16,74,128,0,0,-1.0,-1.0
1,3014,3057,196,2,6,2,2438,16,74,128,0,0,-1.0,-2.0
2,3014,3057,196,4,6,2,2439,16,74,128,0,0,-1.0,-3.0
3,3014,3057,196,6,6,2,2440,16,74,128,0,0,-1.0,-4.0
4,3014,3057,196,8,6,2,2441,16,74,128,0,0,-1.0,-5.0
5,3014,3057,196,10,6,2,2442,16,74,128,0,0,-1.0,-6.0
6,3014,3057,196,12,6,2,2443,16,74,128,0,0,-1.0,-7.0
7,3013,3057,196,14,6,2,2444,16,74,128,0,0,-1.0,-8.0
8,3013,3057,196,16,6,2,2445,16,74,128,0,0,-1.0,-9.0
9,3013,3057,196,18,6,2,2446,16,74,128,0,0,-1.0,-10.0
10,3013,3057,196,20,6,2,2447,16,74,128,0,0,-1.0,-11.0
11,3012,3057,196,22,6,2,2448,16,74,128,0,0,-1.0,-12.0
12,3012,3057,196,24,6,2,2449,16,74,128,0,0,-1.0,-13.0
13,3012,3057,196,26,6,2,2450,16,74,128,0,0,-1.0,-14.0
14,3011,3057,196,28,6,2,2451,16,74,128,0,0,-1.0,-15.0
15,3011,3057,196,30,6,2,2452,16,74,128,0,0,-1.0,-16.0
16,3010,3057,196,32,6,2,2453,16,74,128,0,0,-1.0,-17.0
17,3010,3057,196,34,6,2,2454,16,74,128,0,0,-1.0,-18.0
18,3009,3057,196,36,6,2,2455,16,74,128,0,0,-1.0,-19.0
19,3009,3057,196,38,6,2,2456,16,74,128,0,0,-1.0,-20.0
20,3008,3057,196,40,6,2,2457,16,74,128,0,0,-1.0,-21.0
21,3008,3057,196,42,6,2,2458,16,74,128,0,0,-1.0,-22.0
22,3007,3057,196,44,6,2,2459,16,72,128,0,0,-1.0,-23.0
23,3006,3057,196,46,6,2,2460,16,72,128,0,0,-1.0,-24.0
24,3005,3057,196,48,6,2,2461,16,72,128,0,0,-1.0,-25.0
25,3005,3057,196,44,6,2,2462,16,72,128,0,0,-1.0,-26.0
26,3004,3057,196,46,6,2,2463,16,72,128,0,0,-1.0,-27.0
27,3003,3057,196,48,6,2,2464,16,72,128,0,0,-1.0,-28.0
28,3003,3057,196,50,6,2,2465,16,72,128,0,0,-1.0,-29.0
29,3002,3057,196,52,6,2,2466,16,72,128,0,0,-1.0,-30.0
30,3001,3056,195,54,6,2,2467,16,72,128,0,0,-1.0,-31.0
31,3000,3056,195,56,6,2,2468,16,72,128,0,0,-1.0,-32.0
32,2999,3056,195,58,6,2,2469,16,72,128,0,0,-1.0,-33.0
33,2998,3056,195,60,6,2,2470,16,72,128,0,0,-1.0,-34.0
34,2997,3056,195,62,6,2,2471,16,72,128,0,0,-1.0,-35.0
35,2996,3056,195,64,6,2,2472,16,72,128,0,0,-1.0,-36.0
36,2995,3056,195,70,6,2,2473,16,72,128,0,0,-1.0,-37.0
37,2994,3056,195,76,6,2,2474,16,72,128,0,0,-1.0,-38.0
38,2993,3056,195,82,6,2,2475,16,72,128,0,0,-1.0,-39.0
39,2992,3056,195,88,6,2,2476,16,72,128,0,0,-1.0,-40.0
40,2991,3056,195,94,6,2,2477,16,72,128,0,0,-1.0,-41.0
41,2989,3056,195,100,6,2,2478,16,72,128,0,0,-1.0,-42.0
42,2987,3056,194,106,6,2,2479,16,72,128,0,0,-1.0,-43.0
43,2986,3056,194,112,6,2,2480,16,72,128,0,0,-1.0,-44.0
44,2984,3055,194,118,6,2,2481,16,72,128,0,0,-1.0,-45.0
45,2982,3055,194,124,6,2,2482,16,72,128,0,0,-1.0,-46.0
46,2980,3055,194,130,6,2,2483,16,72,128,0,0,-1.0,-47.0
47,2978,3055,194,134,6,2,2484,16,72,128,0,0,-1.0,-48.0
48,2976,3055,194,138,6,2,2485,16,72,128,0,0,-1.0,-49.0
49,2974,3055,193,142,6,2,2486,16,72,128,0,0,-1.0,-50.0
50,2972,3055,193,146,6,2,2487,16,72,128,0,0,-1.0,-51.0
51,2970,3055,193,150,6,2,2488,16,72,128,0,0,-1.0,-52.0
52,2967,3055,193,154,6,2,2489,16,72,128,0,0,-1.0,-53.0
53,2965,3055,193,158,6,2,2490,16,72,128,0,0,-1.0,-54.0
54,2962,3055,193,162,6,2,2491,16,72,128,0,0,-1.0,-55.0
55,2960,3055,193,166,6,2,2492,16,72,128,0,0,-1.0,-56.0
56,2957,3055,193,170,6,2,2493,16,72,128,0,0,-1.0,-57.0
57,2955,3055,193,174,6,2,2494,16,72,128,0,0,-1.0,-58.0
58,2952,3055,193,178,6,2,2495,16,72,128,0,0,-1.0,-59.0
59,2949,3055,193,182,6,2,2496,16,72,128,0,0,-1.0,-60.0
60,2946,3055,193,186,6,2,2497,16,72,128,0,0,-1.0,-61.0
61,2943,3055,193,190,6,2,2498,16,92,128,0,0,-1.0,-62.0
62,2940,3055,193,194,6,2,2499,16,92,128,0,0,-1.0,-63.0
63,2937,3055,193,202,6,2,2500,16,92,128,0,0,-1.0,-64.0
64,2934,3054,193,210,6,2,2501,16,92,128,0,0,-1.0,-65.0
65,2931,3054,193,218,6,2,2502,16,92,128,0,0,-1.0,-66.0
66,2927,3054,193,226,6,2,2503,16,92,128,0,0,-1.0,-67.0
67,2924,3054,193,234,6,2,2504,16,92,128,0,0,-1.0,-68.0
68,2920,3054,193,242,6,2,2505,16,92,128,0,0,-1.0,-69.0
69,2916,3054,193,250,6,2,2506,16,92,128,0,0,-1.0,-70.0
70,2913,3054,193,258,6,2,2507,16,92,128,0,0,-1.0,-71.0
71,2909,3054,193,270,6,2,2508,16,92,128,0,0,-1.0,-72.0
72,2904,3054,193,282,6,2,2509,16,92,128,0,0,-1.0,-73.0
73,2900,3054,193,294,6,2,2510,16,92,128,0,0,-1.0,-74.0
74,2895,3054,192,306,6,2,2511,16,92,128,0,0,-1.0,-75.0
75,2891,3054,192,318,6,2,2512,16,92,128,0,0,-1.0,-76.0
76,2886,3054,192,330,6,2,2513,16,92,128,0,0,-1.0,-77.0
77,2880,3054,192,342,6,2,2514,16,92,128,0,0,-1.0,-78.0
78,2875,3054,192,354,6,2,2515,16,92,128,0,0,-1.0,-79.0
79,2870,3054,192,366,6,2,2516,16,92,128,0,0,-1.0,-80.0
80,2864,3054,191,378,6,2,2517,16,92,128,0,0,-1.0,-81.0
81,2858,3054,191,390,6,2,2518,16,92,128,0,0,-1.0,-82.0
82,2852,3054,191,402,6,2,2519,16,92,128,0,0,-1.0,-83.0
83,2846,3055,190,414,6,2,2520,16,92,128,0,0,-1.0,-84.0
84,2839,3055,190,426,6,2,2521,16,92,128,0,0,-1.0,-85.0
85,2832,3055,190,438,6,2,2522,16,92,128,0,0,-1.0,-86.0
86,2826,3056,189,450,6,2,2523,16,92,128,0,0,-1.0,-87.0
87,2819,3056,189,458,6,2,2524,16,92,128,0,0,-1.0,-88.0
88,2811,3057,188,466,6,2,2525,17,92,128,0,0,-1.0,-89.0
89,2804,3058,188,474,6,2,2526,17,92,128,0,0,-1.0,-90.0
90,2797,3058,187,468,6,2,2527,17,92,128,0,0,-1.0,-91.0
91,2789,3059,187,476,6,2,2528,17,92,128,0,0,-1.0,-92.0
92,2782,3060,186,484,6,2,2529,17,92,128,0,0,-1.0,-93.0
93,2775,3061,186,492,6,2,2530,17,92,128,0,0,-1.0,-94.0
94,2767,3062,185,500,6,2,2531,17,92,128,0,0,-1.0,-95.0
95,2759,3064,185,508,6,2,2532,17,92,128,0,0,-1.0,-96.0
96,2751,3065,184,516,6,2,2533,17,92,128,0,0,-1.0,-97.0
97,2744,3067,184,524,6,2,2534,17,92,128,0,0,-1.0,-98.0
98,2736,3069,183,532,6,2,2535,17,92,128,0,0,-1.0,-99.0
99,2727,3071,182,540,6,2,2536,17,92,128,0,0,-1.0,-100.0
100,2719,3073,182,548,6,2,2537,18,92,128,0,0,-1.0,-101.0
101,2711,3075,181,556,6,2,2538,18,92,128,0,0,-1.0,-102.0
102,2703,3077,181,564,6,2,2539,18,92,128,0,0,-1.0,-103.0
103,2694,3080,180,572,6,2,2540,18,92,128,0,0,-1.0,-104.0
104,2686,3082,179,580,6,2,2541,18,92,128,0,0,-1.0,-105.0
105,2677,3085,179,564,6,2,2542,18,92,128,0,0,-1.0,-106.0
106,2669,3088,178,572,6,2,2543,18,92,128,0,0,-1.0,-107.0
107,2660,3091,177,580,6,2,2544,18,92,128,0,0,-1.0,-108.0
108,2652,3094,177,564,6,2,2545,18,92,128,0,0,-1.0,-109.0
109,2644,3098,177,572,6,2,2546,18,92,128,0,0,-1.0,-110.0
110,2635,3101,176,580,6,2,2547,18,92,128,0,0,-1.0,-111.0
111,2627,3105,176,564,6,2,2548,18,92,128,0,0,-1.0,-112.0
112,2619,3108,176,572,6,2,2549,18,92,128,0,0,-1.0,-113.0
113,2611,3112,175,580,6,2,2550,18,92,128,0,0,-1.0,-114.0
114,2602,3115,175,564,6,2,2551,18,92,128,0,0,-1.0,-115.0
115,2594,3119,175,556,6,2,2552,18,92,128,0,0,-1.0,-116.0
116,2586,3123,174,548,6,2,2553,18,92,128,0,0,-1.0,-117.0
117,2579,3126,174,556,6,2,2554,18,92,128,0,0,-1.0,-118.0
118,2571,3130,173,564,6,2,2555,18,92,128,0,0,-1.0,-119.0
119,2563,3134,173,572,6,2,2556,18,92,128,0,0,-1.0,-120.0
120,2555,3138,173,580,6,2,2557,18,92,128,0,0,-1.0,-121.0
121,2547,3142,172,564,6,2,2558,18,92,128,0,0,-1.0,-122.0
122,2539,3146,172,572,6,2,2559,18,92,128,0,0,-1.0,-123.0
123,2531,3151,172,580,6,2,2560,18,92,128,0,0,-1.0,-124.0
124,2523,3155,172,564,6,2,2561,18,72,128,0,0,-1.0,-125.0
125,2516,3159,171,572,6,2,2562,18,72,128,0,0,-1.0,-126.0
126,2508,3164,171,580,6,2,2563,18,72,128,0,0,-1.0,-127.0
127,2500,3168,171,584,6,2,2564,18,72,128,0,0,-1.0,-128.0
128,2492,3173,170,588,6,2,2565,18,72,128,0,0,-1.0,-129.0
129,2484,3178,170,592,6,2,2566,18,72,128,0,0,-1.0,-130.0
130,2476,3182,170,596,6,2,2567,18,72,128,0,0,-1.0,-131.0
131,2468,3187,170,600,6,2,2568,18,72,128,0,0,-1.0,-132.0
132,2460,3192,169,604,6,2,2569,18,72,128,0,0,-1.0,-133.0
133,2452,3197,169,608,6,2,2570,18,72,128,0,0,-1.0,-134.0
134,2444,3202,169,612,6,2,2571,18,72,128,0,0,-1.0,-135.0
135,2436,3208,169,616,6,2,2572,18,72,128,0,0,-1.0,-136.0
136,2428,3213,169,620,6,2,2573,18,74,128,0,0,-1.0,-137.0
137,2420,3218,169,624,6,2,2574,18,74,128,0,0,-1.0,-138.0
138,2412,3223,169,628,6,2,2575,18,74,128,0,0,-1.0,-139.0
139,2404,3229,169,632,6,2,2576,18,74,128,0,0,-1.0,-140.0
140,2395,3234,169,636,6,2,2577,18,74,128,0,0,-1.0,-141.0
141,2387,3240,169,640,6,2,2578,18,74,128,0,0,-1.0,-142.0
142,2379,3245,169,642,6,2,2579,18,74,128,0,0,-1.0,-143.0
143,2370,3250,169,644,6,2,2580,18,74,128,0,0,-1.0,-144.0
144,2362,3256,169,646,6,2,2581,18,74,128,0,0,-1.0,-145.0
145,2353,3261,169,648,6,2,2582,18,74,128,0,0,-1.0,-146.0
146,2345,3267,169,650,6,2,2583,18,74,128,0,0,-1.0,-147.0
147,2336,3273,169,652,6,2,2584,18,74,128,0,0,-1.0,-148.0
148,2328,3278,169,654,6,2,2585,18,74,128,0,0,-1.0,-149.0
149,2319,3284,169,656,6,2,2586,18,74,128,0,0,-1.0,-150.0
150,2310,3289,169,658,6,2,2587,18,74,128,0,0,-1.0,-151.0
151,2302,3295,169,660,6,2,2588,20,74,128,0,0,-1.0,-152.0
152,2293,3300,169,662,6,2,2589,20,74,128,0,0,-1.0,-153.0
153,2284,3306,169,664,6,2,2590,20,74,128,0,0,-1.0,-154.0
154,2276,3312,169,666,6,2,2591,20,74,128,0,0,-1.0,-155.0
155,2267,3317,169,668,6,2,2592,20,74,128,0,0,-1.0,-156.0
156,2258,3323,169,670,6,2,2593,20,74,128,0,0,-1.0,-157.0
