#{"t_start": 1762349709.8591104, "env_id": "None"}
r,l,t
-939.753444,2221,6.427397
-884.753445,2221,24.336277
-1020.309,2221,30.885777
-1052.753444,2221,49.200671
-1120.309,2221,55.678946
-1028.309,2221,73.43274
-1286.309,2221,79.709206
-1213.309,2221,98.225298
-1031.309,2221,104.598291
-990.753444,2221,123.607548
-807.753444,2221,129.852749
-696.753445,2221,148.180423
-883.753444,2221,166.451115
-719.753444,2221,173.042565
-740.753445,2221,192.155472
-755.753444,2221,198.737644
-697.753444,2221,218.415912
-641.753445,2221,224.933339
-733.753444,2221,244.682565
-727.753444,2221,254.216402
-718.753445,2221,274.072256
-705.753443,2221,280.4039
-515.753444,2221,299.98098
-553.753444,2221,319.205926
-532.753445,2221,325.837383
-401.753444,2221,345.465652
-403.753444,2221,351.976191
-335.975667,2221,371.427016
-2967.453444,2221,377.763085
-657.075667,2221,397.59719
-349.753445,2221,403.869232
-477.753444,2221,423.659598
-408.753444,2221,429.856433
-657.753444,2221,449.228441
-583.753445,2221,468.608808
-627.753444,2221,475.24498
-538.753444,2221,494.438958
-599.753445,2221,500.959625
-695.753445,2221,520.624963
-675.753444,2221,527.009336
-528.753444,2221,546.491518
-576.753444,2221,552.810847
-452.753444,2221,572.316022
-544.753444,2221,578.679951
-547.753444,2221,598.084136
-481.753444,2221,604.341846
-632.753445,2221,623.85019
-540.753445,2221,643.061974
-803.753445,2221,649.558904
-624.753444,2221,668.666546
-547.753444,2221,675.237062
-671.753444,2221,694.565174
-632.753445,2221,700.984391
-748.753444,2221,720.933549
-559.753444,2221,727.281602
-522.753445,2221,746.607498
-550.753444,2221,752.824203
-561.753445,2221,772.313583
-562.753445,2221,791.518954
-490.753445,2221,797.962867
-518.753444,2221,817.103719
-504.753445,2221,823.641591
-527.753445,2221,843.093378
-476.753445,2221,849.467138
-445.753444,2221,868.975639
-3091.675665,2221,875.458133
-441.753445,2221,894.5418
-419.753444,2221,900.984593
-353.753445,2221,920.261614
-423.753444,2221,939.636275
-383.753445,2221,946.226587
-461.753445,2221,965.407219
-1345.109,2221,971.947953
-346.753444,2221,990.935059
-2956.275667,2221,997.432954
-5999.009,2221,1016.996974
-3034.475665,2221,1023.30195
-3049.975671,2221,1042.841334
-3135.375662,2221,1049.0969
-4095.909004,2221,1068.385328
-5186.442336,2221,1074.628843
-3167.075665,2221,1094.218727
-289.753445,2221,1113.042451
-5585.053444,2221,1119.619318
-2360.57567,2221,1138.839117
-3109.775666,2221,1145.412725
-2992.142331,2221,1164.815873
-5940.208995,2221,1171.070647
-5788.953442,2221,1190.392354
-5116.553437,2221,1196.92878
-6230.875665,2221,1216.174602
-6080.809002,2221,1222.49646
-6089.75345,2221,1241.865841
-7116.053445,2221,1261.272996
-5837.153443,2221,1267.728974
-5757.853441,2221,1287.138446
-5754.309006,2221,1293.632109
-5970.308995,2221,1312.493798
-5988.053438,2221,1318.977527
-5925.808996,2221,1338.186348
-4669.008999,2221,1344.639259
-8451.108997,2221,1364.059989
-8075.208997,2221,1370.342047
-6900.909004,2221,1389.851537
-9219.309001,2221,1409.447145
-6890.553442,2221,1416.46594
-8469.653445,2221,1435.654755
-8426.709,2221,1442.28215
-8438.108996,2221,1461.617887
-6783.008998,2221,1468.120915
-7212.353451,2221,1487.526297
-6828.209005,2221,1493.951608
-7521.109004,2221,1513.425864
-8541.353444,2221,1519.973426
-5988.653445,2221,1539.256874
-5675.309006,2221,1545.551499
-6429.353444,2221,1565.238577
-3127.753446,2221,1584.372706
-6037.853447,2221,1590.790731
-5969.608993,2221,1609.512897
-5819.309,2221,1616.180105
-5783.709005,2221,1635.180543
-5833.209,2221,1641.587008
-5812.509007,2221,1660.788729
-3493.95344,2221,1667.031567
-5858.453447,2221,1686.480102
-3113.942335,2221,1692.78216
-6054.753437,2221,1712.180336
-3316.753444,2221,1731.134973
-5788.253449,2221,1737.787559
-6177.053451,2221,1757.478918
-5734.909001,2221,1763.917786
-7489.509002,2221,1783.186794
-5983.308998,2221,1789.574041
-5903.408997,2221,1809.025137
-5751.108997,2221,1815.634377
-5853.953445,2221,1835.049072
-7559.142328,2221,1841.396871
-5878.353448,2221,1860.663133
-8547.409003,2221,1880.025436
-8272.508998,2221,1886.499731
-5981.508999,2221,1905.623369
-8376.708996,2221,1912.255862
-8559.853449,2221,1931.248071
-6632.408999,2221,1937.836663
-8995.308993,2221,1957.047651
-8499.208999,2221,1963.378308
-8033.109001,2221,1982.791957
-8574.208999,2221,1989.0769
-5859.309003,2221,2008.28063
-8440.908996,2221,2014.612199
-8366.708998,2221,2033.66552
-8571.408992,2221,2052.533237
-8586.353451,2221,2059.018627
-8124.708996,2221,2078.059908
-8058.109005,2221,2084.488032
-8275.509004,2221,2103.516839
-8536.009002,2221,2109.974904
-8509.309003,2221,2129.081381
-8458.808999,2221,2135.884549
-8425.108996,2221,2154.932989
-5925.653444,2221,2161.44875
-8151.908999,2221,2181.093872
-5749.608997,2221,2199.90364
-8516.209002,2221,2206.371886
-5889.653444,2221,2225.672889
-5153.67566,2221,2233.027446
-7670.909003,2221,2253.842302
-5879.853443,2221,2261.234026
-7724.553452,2221,2281.791505
-7139.509008,2221,2289.206079
-8971.553447,2221,2310.1264
-6178.853443,2221,2317.554116
-8219.053442,2221,2338.635871
-8598.253442,2221,2359.492872
-8574.908997,2221,2366.86693
-8654.253445,2221,2387.412856
-5885.253444,2221,2394.708017
-8487.153444,2221,2415.363374
-8174.409004,2221,2421.708739
-8530.209001,2221,2440.740629
-8368.008997,2221,2447.222842
-7243.109002,2221,2487.399396
-6740.808999,2221,2499.914468
-7846.308998,2221,2528.908741
-5962.675669,2221,2538.828167
-8479.709002,2221,2567.413453
-6862.409002,2221,2595.722549
-6611.953443,2221,2605.854926
-8414.208998,2221,2633.803203
-5796.308999,2221,2643.650462
-8126.309005,2221,2671.219723
-9468.653449,2221,2680.928201
-8368.20899,2221,2709.01903
-8156.109001,2221,2718.679902
-6110.509,2221,2746.676108
-7638.942336,2221,2756.736868
-5863.353439,2221,2784.788315
-8570.653446,2221,2812.363274
-8572.108998,2221,2823.303202
-7810.653443,2221,2851.393651
-7847.108996,2221,2861.145164
-7932.65345,2221,2888.868452
-9809.675671,2221,2898.732852
-8772.753438,2221,2926.644914
-7221.353442,2221,2936.538346
-8527.009,2221,2963.796319
-8500.55344,2221,2973.421191
-7466.475668,2221,3001.015682
-8420.008995,2221,3028.578717
-9787.953443,2221,3038.352143
-9145.753447,2221,3065.908094
-5846.908993,2221,3075.977189
-7459.908998,2221,3103.805585
-8431.409,2221,3113.882226
-7443.453448,2221,3141.93021
-8616.253445,2221,3151.918314
-7668.908996,2221,3179.836109
-7821.553449,2221,3189.781567
-7914.908997,2221,3217.719546
-8452.753447,2221,3227.807103
-6969.608996,2221,3255.899308
-5966.708999,2221,3284.001696
-8845.153441,2221,3293.538078
-8681.475666,2221,3321.01638
-7540.108996,2221,3331.002263
-9893.109008,2221,3359.135423
-8488.609001,2221,3369.046181
-7872.853454,2221,3396.85864
-8640.075672,2221,3406.495464
-9453.253446,2221,3434.485766
-5894.508999,2221,3444.456214
-8518.209004,2221,3472.384594
-7653.953443,2221,3500.202404
-6585.409002,2221,3510.326476
-4187.572991,1830,3536.203089
-8636.153442,2221,3546.17882
-8188.309001,2221,3573.501259
-8705.55345,2221,3583.428415
-8730.753444,2221,3610.606625
-5905.853448,2221,3620.529873
-8400.153441,2221,3648.382559
-8288.253449,2221,3658.263896
-9138.408991,2221,3686.203294
-7357.442335,2221,3696.137568
-6621.053445,2221,3724.170459
-6129.475662,2221,3751.354106
-7120.109002,2221,3761.347482
-9605.708997,2221,3789.226146
-7067.709002,2221,3799.299048
-7388.453446,2221,3827.473409
-8642.218443,2221,3837.172271
-8586.309002,2221,3865.599814
-7231.253445,2221,3875.58765
-8556.509004,2221,3903.299658
-11532.809008,2221,3913.062136
-9455.275663,2221,3941.350163
-7306.208994,2221,3951.358921
-9017.708998,2221,3979.449716
-8441.909005,2221,4006.792326
-7809.708995,2221,4016.68677
-7782.808997,2221,4044.34544
-8607.953448,2221,4054.491961
-8326.875663,2221,4082.998788
-8531.909001,2221,4093.11993
-8621.853449,2221,4121.050694
-8881.27567,2221,4131.283326
-8540.909,2221,4159.394674
-8536.109,2221,4169.296144
-9786.853439,2221,4197.339113
-7879.453443,2221,4226.200848
-6774.793452,2221,4235.876009
-7504.709,2221,4264.334565
-8520.209,2221,4275.925062
-10557.308995,2221,4314.184063
-7898.953453,2221,4329.656006
-9055.353443,2221,4368.589287
-8399.209002,2221,4382.684051
-7938.509002,2221,4421.441866
-8483.408996,2221,4435.439718
-7593.109004,2221,4474.648619
-7866.109002,2221,4508.137133
-8943.308997,2221,4519.272531
-8436.909002,2221,4547.695921
-2379.59661,1829,4555.850221
-8275.575671,2221,4583.283981
-6313.475665,2221,4593.066056
-7943.242335,2221,4620.70449
-8876.109006,2221,4630.598445
-6989.409002,2221,4659.716832
-8181.109003,2221,4673.574919
-6405.609005,2221,4712.883944
-5855.909,2221,4727.024442
-8029.409005,2221,4765.829628
-7207.409,2221,4780.388509
-7429.909004,2221,4818.970885
-8728.908999,2221,4853.547892
-2355.520507,1755,4862.620795
-7503.444001,2221,4890.834131
-8435.609002,2221,4900.97463
-7904.809001,2221,4928.818371
-5872.009001,2221,4938.867855
-9537.708998,2221,4966.271322
-8464.609001,2221,4976.125034
-8847.140661,2221,5003.082576
-8437.608999,2221,5012.890908
-7705.208996,2221,5040.49838
-7653.008992,2221,5050.262647
-2315.87949,1700,5075.676353
-5851.273995,2221,5085.398669
-7767.209003,2221,5112.802866
-7841.418447,2221,5122.423088
-8229.308996,2221,5151.984232
-8640.209001,2221,5196.011949
-8728.282339,2221,5211.081648
203.847004,1230,5219.411626
-5093.304,2221,5266.244637
-5321.796012,2161,5281.07651
-6502.075668,2221,5321.872594
-11136.553439,2221,5363.611763
-8458.809,2221,5379.374305
-10740.709002,2221,5416.367578
-7649.474005,2221,5428.291943
-9599.538989,2221,5458.095262
-7031.409001,2221,5469.798795
-7505.104004,2221,5501.377753
-6186.608998,2221,5511.322595
-3110.580614,1637,5536.897822
-4837.009001,2221,5546.65257
-7340.409,2221,5566.595066
-2429.547097,1884,5572.015866
-5126.008991,2221,5596.201708
-6352.453445,2221,5602.895416
-7317.908999,2221,5626.478817
-7524.328998,2221,5633.297888
-2002.72508,1567,5651.971936
-5955.454004,2221,5658.54465
-6799.909009,2221,5680.114064
-7689.874002,2221,5687.785986
-2045.020494,1651,5705.807268
-6102.344003,2221,5712.261019
-6351.25344,2221,5733.064719
-7466.108997,2221,5754.877981
-3490.982801,1633,5760.954319
-2063.907941,1436,5766.002912
-2373.744091,1827,5787.219959
-7125.242334,2221,5794.920948
507.345899,1152,5813.951361
-5823.275676,2221,5822.754513
-5580.583446,2221,5845.090942
-2454.196605,1829,5851.675519
-5852.253451,2221,5873.729318
-7602.642335,2221,5881.383144
-2320.433585,1682,5902.30454
420.963906,1232,5907.371884
-4447.442341,2221,5917.862856
-7286.775669,2221,5940.59756
-3768.097495,1740,5946.655884
-2520.453012,1901,5967.077039
-2341.953075,1712,5972.210375
409.779993,1190,5988.818244
-7409.058996,2221,5995.599002
-2235.168119,1619,6000.583449
-2313.406612,1702,6019.164385
-7015.478998,2221,6025.717421
481.423995,1186,6042.865584
-2435.890311,1623,6048.012551
-1663.584579,1509,6065.510362
-5581.412984,2001,6071.816133
-4863.682106,1884,6077.501647
505.924698,1168,6093.973819
-1691.230458,1370,6098.059835
-6745.175665,2221,6117.535452
303.982058,1136,6121.177831
-2684.248998,2221,6127.60237
-3561.508999,2221,6148.796115
-4377.375666,2221,6171.50571
484.274923,1264,6176.177737
-776.15949,1375,6181.08273
-6275.175662,2221,6203.106604
-5898.764002,2221,6211.015172
-1553.232492,1440,6235.567297
-1623.202024,1425,6241.607189
292.485399,1134,6247.054747
-4831.008997,2221,6271.036947
-894.522128,1347,6276.096951
-3980.874103,1979,6296.59605
402.949003,1145,6301.030229
-1572.344114,1352,6305.86085
407.32251,1391,6327.165528
-7242.309007,2221,6335.630448
358.129996,1190,6339.625105
-653.562802,1338,6358.885006
259.149017,1145,6362.880232
-1138.960321,1348,6367.780286
-2338.368607,1757,6386.667111
519.072212,1198,6390.409776
-2290.262602,1517,6395.094445
-1887.133969,1475,6412.949625
217.537,1201,6416.675994
-77.924074,1452,6420.991037
137.241919,1119,6438.897943
-1295.427823,1373,6443.027247
572.967989,1150,6446.599013
470.024702,1163,6463.855404
186.294415,1162,6467.906204
538.787179,1178,6471.661376
514.162996,1206,6475.342674
388.478991,1186,6492.683957
237.829413,1162,6496.183819
511.7009,1179,6499.696837
448.244683,1283,6518.767741
473.506396,1282,6522.652408
-1407.084591,1509,6528.297621
-826.390301,1383,6546.111667
-1351.87658,1502,6551.566142
-870.517618,1489,6556.653321
548.563907,1232,6575.468663
-1055.85761,1414,6580.455169
422.536501,1295,6584.885644
450.453401,1302,6606.956363
405.047507,1191,6611.321352
-1647.939518,1500,6616.927007
452.333498,1235,6637.565508
-2645.404166,1815,6644.035197
323.687206,1253,6648.261925
-611.840584,1437,6669.612076
325.559706,1288,6675.312215
-488.665268,1468,6680.356208
-1734.885488,1476,6701.152175
-1727.487998,1530,6706.901035
-5418.375671,2221,6728.730364
-1316.568989,1346,6733.24494
277.214727,1208,6737.166229
187.832989,1150,6755.284213
-2442.581094,1707,6760.75658
-1974.107801,1553,6765.170609
273.558994,1270,6782.103453
331.311399,1257,6786.013806
487.693995,1186,6789.513038
